,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
4725,11801.0,6.0,0.018907165998825803,12.0,23.0
4726,11801.0,7.0,0.018806540989317,12.0,23.0
4727,11801.0,8.0,0.018564750003861263,10.0,23.0
4728,11801.0,9.0,0.018786583008477464,11.0,23.0
4729,11801.0,10.0,0.018820708995917812,9.0,23.0
4730,11801.0,11.0,0.018815374991390854,14.0,23.0
4731,11801.0,12.0,0.01919099999940954,9.0,23.0
4732,11801.0,13.0,0.018834291986422613,12.0,23.0
4733,11801.0,14.0,0.01874295898596756,13.0,23.0
4734,11801.0,15.0,0.019273374986369163,8.0,23.0
4735,11801.0,16.0,0.01910545799182728,10.0,23.0
4736,11801.0,17.0,0.019771959021454677,12.0,23.0
4737,11801.0,18.0,0.01903858399600722,15.0,23.0
4738,11801.0,19.0,0.019380209007067606,11.0,23.0
4739,11801.0,20.0,0.01942791699548252,14.0,23.0
4740,11851.0,1.0,0.018630290986038744,1.0,3.0
4741,11851.0,2.0,0.019189917016774416,3.0,8.0
4742,11851.0,3.0,0.018905459000961855,4.0,9.0
4743,11851.0,4.0,0.018912582978373393,11.0,23.0
4744,11851.0,5.0,0.01820041600149125,12.0,23.0
4745,11851.0,6.0,0.01863070798572153,10.0,23.0
4746,11851.0,7.0,0.0191002500068862,13.0,23.0
4747,11851.0,8.0,0.01849199997377582,13.0,23.0
4748,11851.0,9.0,0.018873499997425824,11.0,23.0
4749,11851.0,10.0,0.019217708002543077,13.0,23.0
4750,11851.0,11.0,0.01908374999766238,12.0,23.0
4751,11851.0,12.0,0.019508208002662286,13.0,23.0
4752,11851.0,13.0,0.01922637500683777,9.0,23.0
4753,11851.0,14.0,0.019009624986210838,10.0,23.0
4754,11851.0,15.0,0.019104375009192154,10.0,23.0
4755,11851.0,16.0,0.019527541007846594,9.0,23.0
4756,11851.0,17.0,0.019573666009819135,11.0,23.0
4757,11851.0,18.0,0.019493291998514906,11.0,23.0
4758,11851.0,19.0,0.019413583009736612,11.0,23.0
4759,11851.0,20.0,0.01940083401859738,11.0,23.0
4760,11901.0,1.0,0.018773374991724268,1.0,3.0
4761,11901.0,2.0,0.01900316699175164,3.0,7.0
4762,11901.0,3.0,0.018788875022437423,6.0,16.0
4763,11901.0,4.0,0.018924874981166795,8.0,21.0
4764,11901.0,5.0,0.01888670801417902,9.0,23.0
4765,11901.0,6.0,0.018973583006300032,12.0,23.0
4766,11901.0,7.0,0.01891474999138154,11.0,23.0
4767,11901.0,8.0,0.019115750008495525,11.0,23.0
4768,11901.0,9.0,0.018867042002966627,11.0,23.0
4769,11901.0,10.0,0.019003958004759625,12.0,23.0
