,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
186,451.0,7.0,0.007210082985693589,16.0,21.0
187,451.0,8.0,0.007330666005145758,17.0,22.0
188,451.0,9.0,0.007219333027023822,17.0,22.0
189,451.0,10.0,0.007141167006921023,16.0,23.0
190,451.0,11.0,0.006957000005058944,17.0,22.0
191,451.0,12.0,0.007815665972884744,20.0,23.0
192,451.0,13.0,0.007287165994057432,16.0,22.0
193,451.0,14.0,0.007199667015811428,15.0,20.0
194,451.0,15.0,0.007095250010024756,18.0,21.0
195,451.0,16.0,0.007492125005228445,18.0,22.0
196,451.0,17.0,0.006991083995671943,16.0,22.0
197,451.0,18.0,0.007814458018401638,18.0,22.0
198,451.0,19.0,0.0070983750047162175,13.0,19.0
199,451.0,20.0,0.00727287499466911,17.0,22.0
200,501.0,1.0,0.00718033398152329,1.0,1.0
201,501.0,2.0,0.006885957991471514,2.0,3.0
202,501.0,3.0,0.007130625017452985,6.0,6.0
203,501.0,4.0,0.007536832999903709,9.0,13.0
204,501.0,5.0,0.007215207995614037,14.0,20.0
205,501.0,6.0,0.0072503749979659915,17.0,22.0
206,501.0,7.0,0.007422750000841916,17.0,21.0
207,501.0,8.0,0.007444584014592692,21.0,22.0
208,501.0,9.0,0.007102624978870153,15.0,22.0
209,501.0,10.0,0.007384583004750311,17.0,22.0
210,501.0,11.0,0.007295999996131286,17.0,21.0
211,501.0,12.0,0.007264333020430058,18.0,23.0
212,501.0,13.0,0.00754783401498571,20.0,22.0
213,501.0,14.0,0.007055833993945271,19.0,22.0
214,501.0,15.0,0.007083000004058704,19.0,21.0
215,501.0,16.0,0.007256708020577207,17.0,21.0
216,501.0,17.0,0.006839292007498443,16.0,23.0
217,501.0,18.0,0.007138458982808515,18.0,22.0
218,501.0,19.0,0.007361583004239947,17.0,20.0
219,501.0,20.0,0.006949333008378744,15.0,22.0
220,551.0,1.0,0.007562874990981072,1.0,1.0
221,551.0,2.0,0.007279375015059486,3.0,4.0
222,551.0,3.0,0.0070505829935427755,7.0,8.0
223,551.0,4.0,0.007442499976605177,12.0,18.0
224,551.0,5.0,0.007504167006118223,13.0,17.0
225,551.0,6.0,0.007405917014693841,15.0,23.0
226,551.0,7.0,0.007476875005522743,18.0,23.0
227,551.0,8.0,0.007512416981626302,17.0,21.0
228,551.0,9.0,0.0075936249922961,20.0,22.0
229,551.0,10.0,0.007151500001782551,18.0,22.0
230,551.0,11.0,0.0069354580191429704,19.0,21.0
231,551.0,12.0,0.0072510830068495125,20.0,23.0
232,551.0,13.0,0.00696724999579601,19.0,22.0
233,551.0,14.0,0.007475374994101003,17.0,21.0
234,551.0,15.0,0.007329916988965124,19.0,22.0
235,551.0,16.0,0.007359166978858411,20.0,23.0
236,551.0,17.0,0.007572083995910361,18.0,22.0
237,551.0,18.0,0.007692541024880484,17.0,22.0
238,551.0,19.0,0.0074690000037662685,17.0,22.0
239,551.0,20.0,0.007695916021475568,18.0,22.0
240,601.0,1.0,0.0072391669964417815,1.0,2.0
241,601.0,2.0,0.0072561669803690165,4.0,5.0
242,601.0,3.0,0.007741665991488844,6.0,8.0
243,601.0,4.0,0.007072250009514391,14.0,16.0
244,601.0,5.0,0.007232375006424263,14.0,19.0
245,601.0,6.0,0.00733379099983722,14.0,18.0
246,601.0,7.0,0.007083375006914139,20.0,21.0
247,601.0,8.0,0.007445915980497375,18.0,21.0
248,601.0,9.0,0.0068413339904509485,19.0,22.0
249,601.0,10.0,0.007391999999526888,17.0,23.0
250,601.0,11.0,0.007479333988158032,18.0,23.0
251,601.0,12.0,0.007305667008040473,20.0,23.0
