,n_movies,n_cat,time,n_output
3103,31001.0,4.0,0.037838791991816834,12.0
3104,31001.0,5.0,0.0377499589958461,7.0
3105,31001.0,6.0,0.038274500009720214,23.0
3106,31001.0,7.0,0.03771754199988209,23.0
3107,31001.0,8.0,0.0376151660020696,23.0
3108,31001.0,9.0,0.03723554199677892,23.0
3109,31001.0,10.0,0.038199874994461425,23.0
3110,31101.0,1.0,0.03772858400770929,1.0
3111,31101.0,2.0,0.03889258399431128,3.0
3112,31101.0,3.0,0.03803754100226797,6.0
3113,31101.0,4.0,0.03788879100466147,10.0
3114,31101.0,5.0,0.037403207999886945,13.0
3115,31101.0,6.0,0.037306624988559633,23.0
3116,31101.0,7.0,0.03768850000051316,23.0
3117,31101.0,8.0,0.038244750001467764,23.0
3118,31101.0,9.0,0.03853641700698063,23.0
3119,31101.0,10.0,0.03849987500871066,23.0
3120,31201.0,1.0,0.037612915999488905,1.0
3121,31201.0,2.0,0.03812962499796413,3.0
3122,31201.0,3.0,0.03749829200387467,7.0
3123,31201.0,4.0,0.03804208400833886,10.0
3124,31201.0,5.0,0.03771224999218248,12.0
3125,31201.0,6.0,0.0378107090073172,18.0
3126,31201.0,7.0,0.03785516599600669,23.0
3127,31201.0,8.0,0.03777362500841264,23.0
3128,31201.0,9.0,0.037792375005665235,23.0
3129,31201.0,10.0,0.03763829199306201,23.0
3130,31301.0,1.0,0.037846209001145326,1.0
3131,31301.0,2.0,0.0387522090022685,4.0
3132,31301.0,3.0,0.03874441700463649,9.0
3133,31301.0,4.0,0.038270666991593316,7.0
3134,31301.0,5.0,0.03836595900065731,11.0
3135,31301.0,6.0,0.03852924999955576,21.0
3136,31301.0,7.0,0.038458416995126754,23.0
3137,31301.0,8.0,0.039137416999437846,23.0
3138,31301.0,9.0,0.03709041699767113,23.0
3139,31301.0,10.0,0.03844037500675768,23.0
3140,31401.0,1.0,0.03847549999773037,1.0
3141,31401.0,2.0,0.038345833992934786,4.0
3142,31401.0,3.0,0.03859345799719449,4.0
3143,31401.0,4.0,0.038977499993052334,12.0
3144,31401.0,5.0,0.0383564590010792,18.0
3145,31401.0,6.0,0.03745062499365304,19.0
3146,31401.0,7.0,0.037594084002193995,23.0
3147,31401.0,8.0,0.03790312500495929,23.0
3148,31401.0,9.0,0.038239333996898495,23.0
3149,31401.0,10.0,0.03827070799889043,23.0
3150,31501.0,1.0,0.03788354199787136,1.0
3151,31501.0,2.0,0.03893725000671111,2.0
3152,31501.0,3.0,0.038953333991230465,4.0
3153,31501.0,4.0,0.03840091699385084,11.0
3154,31501.0,5.0,0.03853000000526663,15.0
3155,31501.0,6.0,0.03899154199461918,20.0
3156,31501.0,7.0,0.037989625008776784,23.0
3157,31501.0,8.0,0.038123791993712075,23.0
3158,31501.0,9.0,0.037438957995618694,23.0
3159,31501.0,10.0,0.03850258399324957,23.0
3160,31601.0,1.0,0.03839124999649357,1.0
3161,31601.0,2.0,0.04016558299190365,2.0
3162,31601.0,3.0,0.03947150000021793,7.0
3163,31601.0,4.0,0.03872258399496786,10.0
3164,31601.0,5.0,0.03874429101415444,14.0
3165,31601.0,6.0,0.03864708299806807,22.0
3166,31601.0,7.0,0.0388312919967575,23.0
3167,31601.0,8.0,0.03863341599935666,23.0
3168,31601.0,9.0,0.03846541700477246,23.0
3169,31601.0,10.0,0.037994792000972666,23.0
3170,31701.0,1.0,0.038916125005926006,1.0
3171,31701.0,2.0,0.03904516600596253,2.0
3172,31701.0,3.0,0.03915962499740999,5.0
3173,31701.0,4.0,0.038473708991659805,10.0
3174,31701.0,5.0,0.038618625010713004,16.0
3175,31701.0,6.0,0.03742150000471156,15.0
3176,31701.0,7.0,0.03884433300117962,23.0
3177,31701.0,8.0,0.0378552909969585,23.0
3178,31701.0,9.0,0.03798541698779445,23.0
3179,31701.0,10.0,0.039782334002666175,23.0
3180,31801.0,1.0,0.038642832994810306,1.0
3181,31801.0,2.0,0.04006916700745933,2.0
3182,31801.0,3.0,0.03885387499758508,6.0
3183,31801.0,4.0,0.038164917001267895,12.0
